"State" "County"
"226" "CO" "Conejos "
"227" "CO" "Costilla "
"228" "CO" "Crowley "
"229" "CO" "Custer "
"230" "CO" "Delta "
"231" "CO" "Denver "
"232" "CO" "Dolores "
"233" "CO" "Douglas "
"234" "CO" "Eagle "
"235" "CO" "El Paso "
"236" "CO" "Elbert "
"237" "CO" "Fremont "
"238" "CO" "Garfield "
"239" "CO" "Gilpin "
"240" "CO" "Grand "
"241" "CO" "Gunnison "
"242" "CO" "Hinsdale "
"243" "CO" "Huerfano "
"244" "CO" "Jackson "
"245" "CO" "Jefferson "
"246" "CO" "Kiowa "
"247" "CO" "Kit Carson "
"248" "CO" "La Plata "
"249" "CO" "Lake "
"250" "CO" "Larimer "
"251" "CO" "Las Animas "
"252" "CO" "Lincoln "
"253" "CO" "Logan "
"254" "CO" "Mesa "
"255" "CO" "Mineral "
"256" "CO" "Moffat "
"257" "CO" "Montezuma "
"258" "CO" "Montrose "
"259" "CO" "Morgan "
"260" "CO" "Otero "
"261" "CO" "Ouray "
"262" "CO" "Park "
"263" "CO" "Phillips "
"264" "CO" "Pitkin "
"265" "CO" "Prowers "
"266" "CO" "Pueblo "
"267" "CO" "Rio Blanco "
"268" "CO" "Rio Grande "
"269" "CO" "Routt "
"270" "CO" "Saguache "
"271" "CO" "San Juan "
"272" "CO" "San Miguel "
"273" "CO" "Sedgwick "
"274" "CO" "Summit "
"275" "CO" "Teller "
"276" "CO" "Washington "
"277" "CO" "Weld "
"278" "CO" "Yuma "
"279" "CT" "Fairfield "
"280" "CT" "Hartford "
"281" "CT" "Litchfield "
"282" "CT" "Middlesex "
"283" "CT" "New Haven "
"284" "CT" "New London "
"285" "CT" "Tolland "
"286" "CT" "Windham "
"287" "DE" "Kent "
"288" "DE" "New Castle "
"289" "DE" "Sussex "
"290" "FL" "Alachua "
"291" "FL" "Baker "
"292" "FL" "Bay "
"293" "FL" "Bradford "
"294" "FL" "Brevard "
"295" "FL" "Broward "
"296" "FL" "Calhoun "
"297" "FL" "Charlotte "
"298" "FL" "Citrus "
"299" "FL" "Clay "
"300" "FL" "Collier "
"301" "FL" "Columbia "
"302" "FL" "Dade "
"303" "FL" "De Soto "
"304" "FL" "Dixie "
"305" "FL" "Duval "
"306" "FL" "Escambia "
"307" "FL" "Flagler "
"308" "FL" "Franklin "
"309" "FL" "Gadsden "
"310" "FL" "Gilchrist "
"311" "FL" "Glades "
"312" "FL" "Gulf "
"313" "FL" "Hamilton "
"314" "FL" "Hardee "
"315" "FL" "Hendry "
"316" "FL" "Hernando "
"317" "FL" "Highlands "
"318" "FL" "Hillsborough "
"319" "FL" "Holmes "
"320" "FL" "Indian River "
"321" "FL" "Jackson "
"322" "FL" "Jefferson "
"323" "FL" "Lafayette "
"324" "FL" "Lake "
"325" "FL" "Lee "
"326" "FL" "Leon "
"327" "FL" "Levy "
"328" "FL" "Liberty "
"329" "FL" "Madison "
"330" "FL" "Manatee "
"331" "FL" "Marion "
"332" "FL" "Martin "
"333" "FL" "Monroe "
"334" "FL" "Nassau "
"335" "FL" "Okaloosa "
"336" "FL" "Okeechobee "
"337" "FL" "Orange "
"338" "FL" "Osceola "
"339" "FL" "Palm Beach "
"340" "FL" "Pasco "
"341" "FL" "Pinellas "
"342" "FL" "Polk "
"343" "FL" "Putnam "
"344" "FL" "Santa Rosa "
"345" "FL" "Sarasota "
"346" "FL" "Seminole "
"347" "FL" "St Johns "
"348" "FL" "St Lucie "
"349" "FL" "Sumter "
"350" "FL" "Suwannee "
"351" "FL" "Taylor "
"352" "FL" "Union "
"353" "FL" "Volusia "
"354" "FL" "Wakulla "
"355" "FL" "Walton "
"356" "FL" "Washington "
"357" "FL" "Big Pine Key"
"358" "FL" "Cudjoe Key"
"359" "FL" "Dry Tortugas"
"360" "FL" "Duck Key"
"361" "FL" "Eliott Key"
